# Server version 0.08 running on www.smart-browser.com:8123
# Game ID: 23
# Board class: halma.CCBoard
# Timeout: 300000
# Date: Tue Apr 08 19:51:26 EDT 2014
# Player 1: Player-0, '110121860', running on www.smart-browser.com
# Player 2: Player-1, '110121860', running on www.smart-browser.com
# Player 3: Player-2, 'random', running on www.smart-browser.com
# Player 4: Player-3, 'random', running on www.smart-browser.com
START Player-0 110121860
START Player-1 110121860
START Player-2 random
START Player-3 random
0 (8,2) (8,1)
1 (10,1) (12,3)
1 (12,3) (14,1)
1 (14,1) (12,1)
1 null null
2 (4,14) (4,15)
3 (13,13) (12,12)
0 (0,0) (0,2)
0 null null
1 (13,4) (15,6)
1 null null
2 (6,9) (6,10)
3 (12,14) (10,14)
3 (10,14) (8,14)
3 null null
0 (6,2) (6,4)
0 null null
1 (15,0) (15,1)
2 (6,10) (7,10)
3 (8,14) (7,13)
0 (2,4) (3,4)
1 (12,5) (12,4)
2 (6,15) (6,13)
2 (6,13) (8,13)
2 null null
3 (11,14) (10,15)
0 (6,3) (7,3)
1 (15,1) (15,0)
2 (5,14) (6,13)
3 (13,11) (14,11)
0 (3,0) (3,2)
0 (3,2) (1,2)
0 null null
1 (15,3) (14,4)
2 (1,15) (1,14)
3 (13,15) (12,15)
0 (1,5) (1,6)
1 (10,2) (11,3)
2 (3,10) (2,10)
3 (15,12) (13,10)
3 null null
0 (3,4) (3,3)
1 (14,4) (15,5)
2 (6,13) (5,13)
3 (7,13) (7,12)
0 (1,6) (0,7)
1 (15,6) (15,7)
2 (0,9) (1,10)
3 (14,11) (14,10)
0 (0,7) (0,6)
1 (13,0) (11,0)
1 null null
2 (2,12) (1,12)
3 (7,12) (6,13)
0 (3,3) (2,3)
1 (13,1) (14,2)
2 (0,12) (2,12)
2 null null
3 (12,15) (11,14)
0 (0,6) (0,7)
1 (11,2) (12,3)
2 (6,14) (5,14)
3 (13,10) (12,10)
0 (4,0) (5,0)
1 (11,3) (10,2)
2 (5,14) (4,13)
3 (12,12) (13,11)
0 (5,4) (5,3)
1 (12,4) (11,3)
2 (1,10) (2,9)
3 (13,11) (12,12)
0 (8,1) (8,2)
1 (12,3) (12,4)
2 (1,12) (2,13)
3 (15,10) (14,11)
0 (6,4) (6,3)
1 (15,5) (13,5)
1 null null
2 (2,9) (2,8)
3 (14,10) (13,10)
0 (8,2) (9,2)
1 (11,3) (9,1)
1 null null
2 (7,10) (6,9)
3 (12,10) (12,11)
0 (0,2) (0,3)
1 (15,7) (14,8)
2 (2,8) (1,8)
3 (11,15) (10,14)
0 (3,1) (4,2)
1 (11,0) (11,1)
2 (6,9) (5,9)
3 (12,11) (11,10)
0 (2,2) (3,3)
1 (12,4) (14,6)
1 (14,6) (14,4)
1 null null
2 (4,15) (5,15)
3 (11,14) (12,13)
0 (5,3) (4,3)
1 (14,2) (14,3)
2 (5,13) (5,14)
3 (14,11) (15,11)
0 (7,3) (8,2)
1 (12,1) (13,1)
2 (1,8) (2,8)
3 (6,13) (7,14)
0 (0,4) (0,2)
0 null null
1 (14,8) (13,7)
2 (4,13) (5,13)
3 (7,14) (9,12)
3 null null
0 (3,3) (3,4)
1 (14,4) (14,6)
1 null null
2 (2,10) (3,9)
3 (14,14) (15,14)
0 (6,3) (7,4)
1 (9,1) (9,3)
1 (9,3) (7,1)
1 null null
2 (1,14) (3,12)
2 (3,12) (1,12)
2 null null
3 (13,10) (13,11)
0 (7,4) (8,5)
1 (15,0) (15,1)
2 (5,13) (6,14)
3 (11,10) (12,9)
0 (9,2) (8,1)
1 (14,3) (14,4)
2 (2,12) (2,11)
3 (9,12) (7,14)
3 null null
0 (1,2) (1,3)
1 (13,2) (13,3)
2 (5,9) (7,7)
2 null null
3 (12,9) (13,8)
0 (3,4) (4,4)
1 (13,7) (12,6)
2 (7,7) (7,8)
3 (9,14) (9,13)
0 (8,5) (7,6)
1 (13,1) (14,1)
2 (5,15) (5,13)
2 (5,13) (7,15)
2 null null
3 (13,8) (12,9)
0 (4,4) (5,3)
1 (11,1) (10,0)
2 (6,14) (6,13)
3 (14,13) (14,14)
0 (0,3) (1,2)
1 (15,1) (15,2)
2 (7,8) (5,8)
2 null null
3 (14,14) (15,15)
0 (4,3) (5,4)
1 (13,5) (13,6)
2 (5,14) (5,15)
3 (12,12) (11,13)
0 (1,3) (0,4)
1 (14,1) (13,0)
2 (5,8) (6,7)
3 (11,13) (12,14)
0 (8,2) (9,1)
1 (14,6) (15,5)
2 (8,13) (8,14)
3 (15,11) (14,11)
0 (8,1) (7,2)
1 (13,6) (12,5)
2 (2,8) (2,7)
3 (7,14) (6,14)
0 (5,3) (6,2)
1 (15,5) (13,5)
1 (13,5) (11,7)
1 null null
2 (6,7) (5,7)
3 (9,13) (8,13)
0 (2,3) (3,3)
1 (12,0) (14,0)
1 null null
2 (2,7) (1,8)
3 (8,13) (7,14)
0 (7,2) (8,2)
1 (10,0) (10,1)
2 (6,8) (5,8)
3 (13,11) (14,10)
0 (8,2) (7,3)
1 (14,4) (15,5)
2 (1,8) (1,9)
3 (14,10) (13,9)
0 (0,7) (0,8)
1 (11,7) (10,8)
2 (2,13) (3,13)
3 (13,9) (12,8)
0 (4,2) (5,2)
1 (15,5) (14,4)
2 (3,9) (2,8)
3 (12,13) (13,13)
0 (0,2) (1,3)
1 (15,2) (14,3)
2 (8,14) (9,15)
3 (10,14) (11,15)
0 (7,6) (6,5)
1 (12,6) (11,7)
2 (7,15) (6,15)
3 (12,8) (12,7)
0 (9,1) (10,0)
1 (10,1) (11,2)
2 (9,15) (8,14)
3 (14,11) (15,10)
0 (7,3) (7,4)
1 (10,8) (12,8)
1 null null
2 (2,11) (1,11)
3 (15,10) (14,9)
0 (6,5) (7,5)
1 (12,8) (13,9)
2 (3,13) (2,13)
3 (12,14) (11,14)
0 (1,3) (1,1)
0 null null
1 (11,2) (12,2)
2 (2,13) (3,14)
3 (10,15) (12,13)
3 (12,13) (14,13)
3 null null
0 (7,4) (8,5)
1 (14,0) (14,1)
2 (8,14) (7,13)
3 (11,15) (12,15)
0 (8,5) (8,6)
1 (14,5) (13,6)
2 (7,13) (6,12)
3 (13,13) (15,13)
3 null null
0 (6,2) (7,2)
1 (13,3) (13,2)
2 (1,11) (1,10)
3 (14,9) (15,9)
0 (3,3) (4,3)
1 (14,3) (14,5)
1 null null
2 (5,7) (4,8)
3 (15,13) (14,12)
0 (5,4) (5,3)
GAMEOVER 
WINNER Player-1
# Game ended: Tue Apr 08 19:51:32 EDT 2014
