# Server version 0.08 running on wpa147092.wireless.mcgill.ca:8123
# Game ID: 81
# Board class: halma.CCBoard
# Timeout: 300000
# Date: Wed Apr 09 20:49:03 EDT 2014
# Player 1: Player-0, '110121860', running on www.smart-browser.com
# Player 2: Player-1, 'random', running on wpa147092.wireless.mcgill.ca
# Player 3: Player-2, 'random', running on wpa147092.wireless.mcgill.ca
# Player 4: Player-3, 'random', running on wpa147092.wireless.mcgill.ca
START Player-0 110121860
START Player-1 random
START Player-2 random
START Player-3 random
2 (0,13) (1,12)
3 (11,9) (11,8)
0 (0,11) (2,13)
0 null null
1 (14,2) (13,2)
2 (1,12) (1,10)
2 null null
3 (12,11) (12,12)
0 (12,5) (14,3)
0 null null
1 (10,5) (11,4)
2 (4,14) (5,15)
3 (13,12) (15,14)
3 null null
0 (4,7) (6,9)
0 null null
1 (9,5) (10,6)
2 (7,15) (7,14)
3 (11,15) (10,14)
0 (5,8) (7,10)
0 null null
1 (15,3) (14,2)
2 (5,12) (4,12)
3 (13,13) (15,13)
3 null null
0 (6,9) (8,11)
0 null null
1 (11,4) (10,5)
2 (2,12) (1,13)
3 (10,13) (11,13)
0 (7,10) (9,12)
0 null null
1 (13,0) (15,2)
1 null null
2 (1,13) (1,12)
3 (15,12) (14,12)
0 (8,11) (10,13)
0 null null
1 (13,4) (12,3)
2 (1,10) (1,9)
3 (11,8) (13,6)
3 (13,6) (11,6)
3 null null
0 (9,12) (11,14)
0 null null
1 (14,1) (14,0)
2 (1,9) (2,10)
3 (14,12) (15,12)
0 (10,13) (12,15)
0 null null
1 (14,2) (13,3)
2 (7,14) (6,13)
3 (14,15) (13,15)
0 (2,13) (3,14)
1 (12,3) (10,1)
1 null null
2 (6,14) (7,15)
3 (9,15) (8,15)
0 (14,3) (15,3)
1 (12,7) (11,7)
2 (4,13) (4,14)
3 (15,15) (14,14)
0 (4,8) (5,9)
1 (10,6) (9,7)
2 (0,15) (0,14)
3 (14,14) (14,12)
3 null null
0 (5,9) (3,11)
0 null null
1 (15,0) (13,0)
1 (13,0) (11,0)
1 (11,0) (9,2)
1 null null
2 (4,14) (4,13)
3 (11,13) (13,11)
3 null null
0 (3,11) (5,13)
0 null null
1 (11,2) (11,1)
2 (1,12) (1,13)
3 (12,12) (14,10)
3 null null
0 (0,12) (2,14)
0 null null
1 (9,7) (10,7)
2 (4,10) (4,11)
3 (15,14) (15,15)
0 (12,6) (13,7)
1 (13,2) (12,3)
2 (2,10) (3,9)
3 (13,11) (13,12)
0 (13,8) (14,9)
1 (12,3) (11,4)
2 (4,12) (5,12)
3 (11,6) (11,8)
3 (11,8) (9,6)
3 null null
0 (11,14) (10,15)
1 (10,1) (12,1)
1 null null
2 (6,13) (5,14)
3 (15,15) (14,14)
0 (14,9) (15,9)
1 (10,5) (10,4)
2 (1,11) (0,10)
3 (9,6) (10,5)
0 (9,3) (11,5)
0 null null
1 (10,4) (9,4)
2 (4,11) (4,10)
3 (11,11) (12,11)
0 (11,5) (12,6)
1 (11,1) (11,2)
2 (4,10) (3,11)
3 (14,12) (12,12)
3 (12,12) (12,10)
3 null null
0 (12,6) (14,8)
0 null null
1 (9,4) (9,5)
2 (0,10) (0,9)
3 (14,14) (14,12)
3 null null
0 (5,13) (6,14)
1 (11,2) (13,2)
1 null null
2 (1,15) (1,14)
3 (15,10) (14,9)
0 (1,1) (2,2)
1 (11,7) (10,8)
2 (1,14) (0,13)
3 (10,5) (10,6)
0 (2,2) (3,3)
1 (12,1) (12,3)
1 (12,3) (10,5)
1 null null
2 (5,15) (4,15)
3 (14,9) (13,10)
0 (14,8) (15,8)
1 (11,4) (9,6)
1 (9,6) (9,4)
1 (9,4) (11,6)
1 null null
2 (0,9) (1,8)
3 (12,10) (12,12)
3 null null
0 (4,0) (5,1)
1 (12,2) (13,1)
2 (4,15) (5,15)
3 (12,12) (12,10)
3 null null
0 (5,1) (6,2)
1 (10,8) (11,8)
2 (7,15) (9,15)
2 (9,15) (11,15)
2 null null
3 (14,12) (12,12)
3 null null
0 (6,2) (7,3)
1 (13,2) (13,0)
1 null null
2 (3,9) (3,10)
3 (13,12) (15,14)
3 null null
0 (7,3) (8,4)
1 (13,3) (13,4)
2 (3,11) (4,10)
3 (14,13) (13,13)
0 (3,5) (4,6)
1 (10,7) (9,7)
2 (6,15) (7,14)
3 (12,11) (13,12)
0 (4,6) (5,7)
1 (10,5) (12,7)
1 (12,7) (14,7)
1 null null
2 (5,14) (3,12)
2 null null
3 (13,12) (12,13)
0 (13,7) (15,7)
0 null null
1 (9,5) (7,3)
1 null null
2 (1,8) (0,9)
3 (13,10) (13,11)
0 (5,7) (6,8)
1 (12,4) (12,5)
2 (1,13) (2,12)
3 (15,14) (14,15)
0 (6,8) (7,9)
1 (13,4) (13,3)
2 (3,10) (3,11)
3 (13,15) (15,15)
3 null null
0 (6,14) (7,15)
1 (11,6) (12,6)
2 (5,15) (6,14)
3 (15,15) (15,14)
0 (8,4) (9,5)
1 (12,6) (12,7)
2 (4,10) (5,10)
3 (10,6) (8,4)
3 null null
0 (9,5) (10,6)
1 (7,3) (6,3)
2 (5,10) (6,11)
3 (13,11) (11,13)
3 null null
0 (10,6) (11,7)
1 (9,7) (8,6)
2 (3,12) (4,12)
3 (10,14) (9,15)
0 (11,7) (13,7)
0 null null
1 (13,0) (11,0)
1 null null
2 (5,12) (6,12)
3 (13,13) (14,12)
0 (13,7) (14,8)
1 (11,0) (10,0)
2 (0,9) (1,8)
3 (12,13) (11,12)
0 (3,3) (4,4)
1 (12,5) (11,6)
2 (7,14) (6,15)
3 (12,10) (12,9)
0 (4,4) (5,5)
1 (11,6) (13,8)
1 null null
2 (4,12) (4,11)
3 (14,10) (13,9)
0 (5,5) (6,6)
1 (14,0) (12,2)
1 null null
2 (6,15) (7,14)
3 (12,9) (12,10)
0 (6,6) (7,7)
1 (8,6) (9,7)
2 (2,12) (1,12)
3 (14,12) (13,12)
0 (7,7) (8,8)
1 (11,8) (11,9)
2 (6,14) (8,14)
2 null null
3 (12,10) (10,8)
3 null null
0 (8,8) (10,6)
0 null null
1 (9,7) (8,6)
2 (4,11) (5,11)
3 (15,12) (14,11)
0 (10,6) (11,7)
1 (14,7) (13,6)
2 (5,11) (7,13)
2 null null
3 (11,12) (10,11)
0 (11,7) (13,7)
0 null null
1 (8,6) (7,7)
2 (1,8) (0,9)
3 (13,12) (12,11)
0 (13,7) (14,7)
1 (12,2) (12,3)
2 (4,13) (5,12)
3 (12,12) (10,14)
3 null null
0 (14,7) (15,6)
1 (9,2) (8,1)
2 (1,12) (2,12)
3 (14,11) (15,11)
0 (7,9) (8,10)
1 (12,0) (12,1)
2 (11,15) (11,14)
3 (13,9) (12,10)
0 (8,10) (9,11)
1 (10,0) (11,1)
2 (2,12) (1,11)
3 (15,13) (14,14)
0 (9,11) (10,12)
1 (13,1) (13,0)
2 (11,14) (11,12)
2 (11,12) (9,10)
2 null null
3 (12,10) (13,10)
0 (10,12) (12,14)
GAMEOVER 
WINNER Player-1
# Game ended: Wed Apr 09 20:49:07 EDT 2014
